Set,Name,speaker,text,label
training,q1ec1.txt,g,okay,ready
training,q1ec1.txt,g,starting off we are above a caravan park,instruct
training,q1ec1.txt,f,mmhmm,acknowledge
training,q1ec1.txt,g,we are going to go due south straight south and then we're going to turn straight back round and head north past an old mill on the right hand side,instruct
training,q1ec1.txt,f,due south and then back up again,check
training,q1ec1.txt,g,yeah,reply_y
training,q1ec1.txt,g,south and then straight back up again with an old mill on the right and you're going to pass on the left-hand side of the mill,clarify
training,q1ec1.txt,f,right okay,acknowledge
training,q1ec1.txt,g,okay,align
training,q1ec1.txt,g,and then we're going to turn east,instruct
training,q1ec1.txt,f,mmhmm,acknowledge
training,q1ec1.txt,g,not straight east slightly sort of northeast,instruct
training,q1ec1.txt,f,slightly northeast,check
training,q1ec1.txt,g,slightly slightly yeah,reply_y
training,q1ec1.txt,g,very slightly,clarify
training,q1ec1.txt,g,and we're going to continue straight along erm quite a wee a wee distance erm quite a wee distance right we're going to continue along on that course,instruct
training,q1ec1.txt,g,and then we're going to turn north again,instruct
training,q1ec1.txt,f,mmhmm,acknowledge
training,q1ec1.txt,g,and well a distance below that turning point there's a fenced meadow,explain
training,q1ec1.txt,g,but you should be avoiding that by quite a distance,instruct
training,q1ec1.txt,f,okay,acknowledge
training,q1ec1.txt,g,okay so we've turned and we're going up north again,align
training,q1ec1.txt,f,mmhmm,reply_y
training,q1ec1.txt,g,continue straight up north,instruct
training,q1ec1.txt,f,mmhmm,acknowledge
training,q1ec1.txt,g,and then we're going to turn to the west on a curvature right sort of,instruct
training,q1ec1.txt,f,okay,acknowledge
training,q1ec1.txt,g,s bend and immediately below that bend there is an abandoned cottage,explain
training,q1ec1.txt,f,mmhmm,acknowledge
training,q1ec1.txt,f,okay,acknowledge
training,q1ec1.txt,g,and we're passing above the top of that,instruct
training,q1ec1.txt,g,"we're going to continue in that sort of ""s"" shape a big wide ""s""",instruct
training,q1ec1.txt,f,mmhmm,acknowledge
training,q1ec1.txt,g,and on the sort of mmhmm top erm left of that again below it there's a fenced meadow,explain
training,q1ec1.txt,g,but you're passing on the top of that,instruct
training,q1ec1.txt,g,okay,align
training,q1ec1.txt,g,right okay,ready
training,q1ec1.txt,f,okay,reply_y
training,q1ec1.txt,g,"we've gone from the abandoned cottage right and we're on the sort of ""s"" shape yeah",align
training,q1ec1.txt,f,right,reply_y
training,q1ec1.txt,g,right,acknowledge
training,q1ec1.txt,g,"and then at the top of the ""s"" we're turning north",instruct
training,q1ec1.txt,f,mmhmm,acknowledge
training,q1ec1.txt,g,okay,align
training,q1ec1.txt,g,we're going straight due north,instruct
training,q1ec1.txt,g,at the top there there's a west lake,explain
training,q1ec1.txt,f,okay,acknowledge
training,q1ec1.txt,g,which we're going to pass on the south erm southeast side,instruct
training,q1ec1.txt,f,mmhmm,acknowledge
training,q1ec1.txt,g,"and we're going to do that in a curve almost a half ""u"" shape",instruct
training,q1ec1.txt,f,"half ""u"" shape to the southeast",check
training,q1ec1.txt,g,yeah,reply_y
training,q1ec1.txt,g,yeah the southeast,reply_y
training,q1ec1.txt,f,right okay,acknowledge
training,q1ec1.txt,g,and continue up north slightly,instruct
training,q1ec1.txt,f,mmhmm,acknowledge
training,q1ec1.txt,g,but not quite to the tip of that lake,instruct
training,q1ec1.txt,f,mmhmm,acknowledge
training,q1ec1.txt,g,and then we're going to turn down above a trig point and we're going to turn immediately to your right and straight down at an angle of forty-five,instruct
training,q1ec1.txt,f,right,acknowledge
training,q1ec1.txt,g,okay,align
training,q1ec1.txt,g,and we're going to continue that wee distance down and that the point at the end of that it should be near to the abandoned cottage where we went past miles away but if not just carry on and then continue down in that forty-five degree,instruct
training,q1ec1.txt,f,mmhmm,acknowledge
training,q1ec1.txt,g,and turn round by a monument on the outside of the monument,instruct
training,q1ec1.txt,f,outside of the monument,check
training,q1ec1.txt,g,yeah,reply_y
training,q1ec1.txt,g,and then a very slight turning up again north sort of northwest,instruct
training,q1ec1.txt,f,mmhmm,acknowledge
training,q1ec1.txt,g,"very slight curve sort of very slight ""s""-shaped just a slight curve and then going to proceed up north again",instruct
training,q1ec1.txt,g,on the right-hand side there's a nuclear test site before right before reaching the top of that northbound,explain
training,q1ec1.txt,g,and then you're going to turn back west,instruct
training,q1ec1.txt,g,and above that there's an east lake,explain
training,q1ec1.txt,f,oh right okay,acknowledge
training,q1ec1.txt,g,yeah,acknowledge
training,q1ec1.txt,g,and that's the finish,instruct
training,q1ec1.txt,f,mmhmm,acknowledge
training,q1ec1.txt,f,slightly different,explain
training,q1ec2.txt,g,right,ready
training,q1ec2.txt,g,start off facing north,instruct
training,q1ec2.txt,g,right,align
training,q1ec2.txt,g,turn to your left and walk forward then to your left again keep walking forward 'til you come to the site of a plane crash go right roundabout it and turn to your right so you end up facing north again,instruct
training,q1ec2.txt,f,could you just slow down a bit please,instruct
training,q1ec2.txt,g,sorry,acknowledge
training,q1ec2.txt,f,so i have to walk straight ahead from the start,check
training,q1ec2.txt,g,mmhmm,reply_y
training,q1ec2.txt,f,and then turn right,check
training,q1ec2.txt,g,mmhmm,reply_y
training,q1ec2.txt,g,just go a couple of steps,clarify
training,q1ec2.txt,f,mmhmm,acknowledge
training,q1ec2.txt,f,have i to pass pass by the waterhole,query_yn
training,q1ec2.txt,g,pass pass the pass,clarify
training,q1ec2.txt,g,well,ready
training,q1ec2.txt,g,it's stony desert that's what i've got here,reply_w
training,q1ec2.txt,g,but,reply_w
training,q1ec2.txt,f,now,ready
training,q1ec2.txt,f,i'm starting off from the just above to the north of the stony desert,align
training,q1ec2.txt,g,mmhmm,reply_y
training,q1ec2.txt,f,erm,ready
training,q1ec2.txt,f,have i to pass by the savannah,query_yn
training,q1ec2.txt,g,no,reply_n
training,q1ec2.txt,g,you've to come down,clarify
training,q1ec2.txt,g,and round past the site of the plane crash,clarify
training,q1ec2.txt,g,no,align
training,q1ec2.txt,f,erm,ready
training,q1ec2.txt,f,erm plane crash is to north of where i am,explain
training,q1ec2.txt,g,well,ready
training,q1ec2.txt,g,is there no one right at the bottom left-hand side of the page,query_yn
training,q1ec2.txt,f,no,reply_n
training,q1ec2.txt,g,okay,acknowledge
training,q1ec2.txt,g,well,ready
training,q1ec2.txt,g,come to walk right to the right-hand side of the page,instruct
training,q1ec2.txt,f,okay,acknowledge
training,q1ec2.txt,g,eh left-hand sorry,instruct
training,q1ec2.txt,f,okay,acknowledge
training,q1ec2.txt,g,erm have you got a collapsed shelter,query_yn
training,q1ec2.txt,f,yes i do,reply_y
training,q1ec2.txt,g,right,acknowledge
training,q1ec2.txt,g,you've to go up north and then round the collapsed shelter,instruct
training,q1ec2.txt,f,uh-huh,acknowledge
training,q1ec2.txt,g,erm do you meet the savannah,query_yn
training,q1ec2.txt,f,erm,ready
training,q1ec2.txt,f,mm now when i when i go round past the collapsed shelter my the savannah is to my right,reply_w
training,q1ec2.txt,g,mmhmm,acknowledge
training,q1ec2.txt,f,okay,acknowledge
training,q1ec2.txt,g,well,ready
training,q1ec2.txt,g,walking east,instruct
training,q1ec2.txt,f,that's east okay okay,acknowledge
training,q1ec2.txt,f,that's i'll change direction and walk east now towards the savannah past the collapsed shelter,align
training,q1ec2.txt,g,mmhmm,reply_y
training,q1ec2.txt,g,when you get to the savannah before you turn to your left so you're heading north again,instruct
training,q1ec2.txt,f,okay,acknowledge
training,q1ec2.txt,f,okay,acknowledge
training,q1ec2.txt,g,until you you get over the top of the slate mountain,instruct
training,q1ec2.txt,f,over the top of the,query_w
training,q1ec2.txt,g,slate mountain,reply_w
training,q1ec2.txt,f,don't have a slate mountain,explain
training,q1ec2.txt,g,mm,acknowledge
training,q1ec2.txt,f,eh i've got some hot springs and elephants,explain
training,q1ec2.txt,g,well,ready
training,q1ec2.txt,g,the hot wells are after the slate mountain,explain
training,q1ec2.txt,g,ehm,ready
training,q1ec2.txt,g,just walk up to the north to about the height of hot wells the hot springs,instruct
training,q1ec2.txt,f,okay okay okay,acknowledge
training,q1ec2.txt,g,turn to your right well left sorry,instruct
training,q1ec2.txt,f,mmhmm,acknowledge
training,q1ec2.txt,g,and down below the springs,instruct
training,q1ec2.txt,f,walk walk below the springs,check
training,q1ec2.txt,g,uh-huh,reply_y
training,q1ec2.txt,f,right,acknowledge
training,q1ec2.txt,g,then turn to face north again,instruct
training,q1ec2.txt,f,uh-huh,acknowledge
training,q1ec2.txt,g,have you got a white mountain,query_yn
training,q1ec2.txt,f,yes,reply_y
training,q1ec2.txt,f,i have a white mountain to my north,explain
training,q1ec2.txt,g,right,acknowledge
training,q1ec2.txt,g,up past up on the left of the white mountain walk right up past,instruct
training,q1ec2.txt,f,uh-huh,acknowledge
training,q1ec2.txt,g,erm do you have a lake right up at the top,query_yn
training,q1ec2.txt,f,yes uh-huh,reply_y
training,q1ec2.txt,g,right,acknowledge
training,q1ec2.txt,g,walk keep walking north 'til you get to the level of the lake,instruct
training,q1ec2.txt,f,uh-huh,acknowledge
training,q1ec2.txt,g,then walk right round it,instruct
training,q1ec2.txt,f,uh-huh,acknowledge
training,q1ec2.txt,g,roman baths,query_yn
training,q1ec2.txt,f,roman baths don't have any roman baths at all,reply_n
training,q1ec2.txt,g,well,ready
training,q1ec2.txt,g,when you come round the lake stick close round the edge,instruct
training,q1ec2.txt,f,uh-huh,acknowledge
training,q1ec2.txt,g,and come back the way you came well only halfway,instruct
training,q1ec2.txt,f,mmhmm,acknowledge
training,q1ec2.txt,f,back round past the white mountain,check
training,q1ec2.txt,g,right,align
training,q1ec2.txt,g,no,reply_n
training,q1ec2.txt,g,right just come back about the length of the lake,clarify
training,q1ec2.txt,f,uh-huh,acknowledge
training,q1ec2.txt,g,erm roman baths,query_yn
training,q1ec2.txt,g,no,reply_n
training,q1ec2.txt,g,you said you didn't have that,explain
training,q1ec2.txt,f,don't have any roman baths,reply_n
training,q1ec2.txt,g,antelopes,query_yn
training,q1ec2.txt,f,i've got some round,explain
training,q1ec2.txt,f,yes,reply_y
training,q1ec2.txt,f,i've got some antelopes right in the centre,explain
training,q1ec2.txt,g,well,ready
training,q1ec2.txt,g,on this map the roman baths are there are at the top below the lake and then it's the antelope,explain
training,q1ec2.txt,f,right okay,acknowledge
training,q1ec2.txt,f,so you want me to go between the antelopes and the position of the roman bath,query_yn
training,q1ec2.txt,g,well it one is just below the other and it's come down to the way you'll be facing it'll be your left the roman baths and the antelopes will be to your left,reply_w
training,q1ec2.txt,f,right okay then,acknowledge
training,q1ec2.txt,f,right,ready
training,q1ec2.txt,f,so i've to go down to so that the antelopes are to my left,check
training,q1ec2.txt,f,and what about this lake,query_w
training,q1ec2.txt,f,i'm still i've still gone halfway back round the lake again,explain
training,q1ec2.txt,g,right,ready
training,q1ec2.txt,g,your lake is on the right top right,align
training,q1ec2.txt,f,okay,reply_y
training,q1ec2.txt,g,right er,ready
training,q1ec2.txt,g,and you're to walk erm that way round the lake the roman baths were there,instruct
training,q1ec2.txt,f,okay,acknowledge
training,q1ec2.txt,f,i just score this bit out a minute,explain
training,q1ec2.txt,f,right,ready
training,q1ec2.txt,f,so sort of underneath the lake then,check
training,q1ec2.txt,g,er right round and come back under it,clarify
training,q1ec2.txt,f,right round,acknowledge
training,q1ec2.txt,f,right that's that right okay okay,acknowledge
training,q1ec2.txt,g,right,ready
training,q1ec2.txt,g,and straight down to the antelopes,instruct
training,q1ec2.txt,f,uh-huh,acknowledge
training,q1ec2.txt,g,erm and it goes round the bottom of the antelopes,instruct
training,q1ec2.txt,f,mmhmm,acknowledge
training,q1ec2.txt,g,on my map it's eh right to the go to the right,instruct
training,q1ec2.txt,f,mmhmm,acknowledge
training,q1ec2.txt,g,i think that's me at the finish,instruct
training,q1ec2.txt,g,just is there a site of the plane crash,query_yn
training,q1ec2.txt,f,uh-huh i've got that i've got a site of plane crash,reply_w
training,q1ec2.txt,g,well it's just below there,instruct
training,q1ec2.txt,f,just below that,acknowledge
training,q1ec2.txt,f,and that's it,check
training,q1ec2.txt,g,think so,reply_y
training,q1ec4.txt,g,right,ready
training,q1ec4.txt,g,straight down south quite a bit and you'll pass um some cliffs on the east,instruct
training,q1ec4.txt,f,sandstone cliff,check
training,q1ec4.txt,g,uh-huh,reply_y
training,q1ec4.txt,f,mm oh aye,acknowledge
training,q1ec4.txt,g,cliffs on the east,clarify
training,q1ec4.txt,f,right,acknowledge
training,q1ec4.txt,g,then keep going down and you'll pass a forge on the east as well,instruct
training,q1ec4.txt,f,forge,check
training,q1ec4.txt,f,no,explain
training,q1ec4.txt,g,well keep going down past the cliffs,instruct
training,q1ec4.txt,f,right,acknowledge
training,q1ec4.txt,g,and then um,ready
training,q1ec4.txt,g,you go east in a curve curve down towards the east,instruct
training,q1ec4.txt,g,and then back up again and you go past um a pine on your right,instruct
training,q1ec4.txt,f,down below that,check
training,q1ec4.txt,g,up above it,reply_w
training,q1ec4.txt,f,up above it,check
training,q1ec4.txt,g,past the side of it,reply_w
training,q1ec4.txt,g,keep it on your right right and go up 'til you get just above the top of it,instruct
training,q1ec4.txt,f,right,acknowledge
training,q1ec4.txt,g,right,align
training,q1ec4.txt,g,and then go due east,instruct
training,q1ec4.txt,f,right,acknowledge
training,q1ec4.txt,g,and,ready
training,q1ec4.txt,g,start going down southeast you go past a pine forest on your right,instruct
training,q1ec4.txt,f,keep to my left or what,check
training,q1ec4.txt,g,mmhmm,reply_y
training,q1ec4.txt,f,right,acknowledge
training,q1ec4.txt,g,right um,ready
training,q1ec4.txt,g,down curve under it towards east curve under it slightly don't go past the edge of it though the the far away edge and then,instruct
